typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20130101","2013","52","2013","246","FIN","Finland","X","Export","0","W00","World","0","W00","World","H4","HS","true","2701","Coal; briquettes, ovoids and similar solid fuels manufactured from coal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5269939","false","-1","N/A",,"false","5269939","false",,"false",,"485424","485424","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","0","W00","World","0","W00","World","H4","HS","true","2701","Coal; briquettes, ovoids and similar solid fuels manufactured from coal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","196992514","false","-1","N/A",,"false","196992514","false",,"false",,"18199112","18199112","0","true","false",
"C","A","20130101","2013","52","2013","268","GEO","Georgia","X","Export","0","W00","World","0","W00","World","H4","HS","true","2701","Coal; briquettes, ovoids and similar solid fuels manufactured from coal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4245650","false","-1","N/A",,"false","4245650","false",,"false",,"305684","305684","0","true","false",
"C","A","20130101","2013","52","2013","218","ECU","Ecuador","X","Export","0","W00","World","0","W00","World","H4","HS","true","2702","Lignite; whether or not agglomerated, excluding jet","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2864","false","-1","N/A",,"false","2864","false",,"false",,"2017","2017","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","0","W00","World","0","W00","World","H4","HS","true","2702","Lignite; whether or not agglomerated, excluding jet","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1266","false","-1","N/A",,"false","1266","false",,"false",,"50729","50729","0","true","false",
"C","A","20130101","2013","52","2013","246","FIN","Finland","X","Export","0","W00","World","0","W00","World","H4","HS","true","2704","Coke and semi-coke; of coal, lignite or peat, whether or not agglomerated; retort carbon","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","69330718","false","-1","N/A",,"false","69330718","false",,"false",,"9123225","9123225","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","0","W00","World","0","W00","World","H4","HS","true","2704","Coke and semi-coke; of coal, lignite or peat, whether or not agglomerated; retort carbon","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","12631723","false","-1","N/A",,"false","12631723","false",,"false",,"2721770","2721770","0","true","false",
"C","A","20130101","2013","52","2013","276","DEU","Germany","X","Export","0","W00","World","0","W00","World","H4","HS","true","2701","Coal; briquettes, ovoids and similar solid fuels manufactured from coal","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","252173779.841","true","-1","N/A","0","false","252173779.841","true",,"false",,"65476461.541","65476461.541","0","false","true",
"C","A","20130101","2013","52","2013","288","GHA","Ghana","X","Export","0","W00","World","0","W00","World","H4","HS","true","2701","Coal; briquettes, ovoids and similar solid fuels manufactured from coal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","17000","false","-1","N/A",,"false","17000","false",,"false",,"8111","8111","0","true","false",
"C","A","20130101","2013","52","2013","300","GRC","Greece","X","Export","0","W00","World","0","W00","World","H4","HS","true","2701","Coal; briquettes, ovoids and similar solid fuels manufactured from coal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","9460693","false","-1","N/A",,"false","9460693","false",,"false",,"1446073","1446073","0","true","false",
"C","A","20130101","2013","52","2013","320","GTM","Guatemala","X","Export","0","W00","World","0","W00","World","H4","HS","true","2701","Coal; briquettes, ovoids and similar solid fuels manufactured from coal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","147","false","-1","N/A",,"false","147","false",,"false",,"3925","3925","0","true","false",
"C","A","20130101","2013","52","2013","324","GIN","Guinea","X","Export","0","W00","World","0","W00","World","H4","HS","true","2701","Coal; briquettes, ovoids and similar solid fuels manufactured from coal","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","22000","false","-1","N/A",,"false","22000","false",,"false",,"17160","17160","0","true","false",
